,	、
ryj	りゅん
ryl	りょん
ryo	りょ
ryp	りょう
ryq	りゃい
ryu	りゅ
ryz	りゃん
rz	らん
r.	る。
r?	る？
sa	さ
sd	せん
se	せ
sga	しゃ
sgd	しぇん
sge	しぇ
sgi	しぃ
sgh	しゅう
sgj	しゅん
sgl	しょん
sgo	しょ
sgp	しょう
sgq	しゃい
sgu	しゅ
sgz	しゃん
sh	すう
si	し
sj	すん
sk	しん
sl	そん
sn	さん
so	そ
sp	そう
sq	さい
sr	する
ss	せい
st	した
su	す
sw	せい
sya	しゃ
syd	しぇん
sye	しぇ
syh	しゅう
syi	しぃ
syj	しゅん
syk	すぃん
syl	しょん
syo	しょ
syp	しょう
syq	しゃい
syu	しゅ
syz	しゃん
sz	さん
s.	す。
s?	す？
t'i	てぃ
t'u	とぅ
t'yu	てゅ
ta	た
tb	たび
td	てん
te	て
tgh	てゅー
tgi	てぃ
tgj	とぅん
tgk	てぃん
tgp	とぅー
tgu	とぅ
th	つう
tha	てゃ
the	てぇ
thi	てぃ
tho	てょ
thu	てゅ
ti	ち
tj	つん
tk	ちん
tl	とん
tm	ため
tn	たん
to	と
tp	とう
tq	たい
tr	たら
tsa	つぁ
tsd	つぇん
tse	つぇ
tsh	つう
tsi	つぃ
tsj	つん
tsk	つぃん
tsl	つぉん
tso	つぉ
tsq	つぁい
tsu	つ
tsz	つぁん
tt	っ	t
tu	つ
tw	てい
tya	ちゃ
tye	ちぇ
tyi	ちぃ
tyj	てゅん
tyo	ちょ
typ	ちょう
tyq	てゃい
tyu	ちゅ
tyz	てゃん
tz	たん
t.	た。
t?	た？
u	う
va	ゔぁ
vd	ゔぇん
ve	ゔぇ
vi	ゔぃ
vh	←
vj	ゔん
vj	↓
vk	ゔぃん
vk	↑
vl	ゔぉん
vl	→
vo	ゔぉ
vp	ゔぉう
vq	ゔぁい
vu	ゔ
vv	っ	v
vw	ゔぇい
vya	ゔゃ
vye	ゔぇ
vyi	ゔぃ
vyo	ゔょ
vyu	ゔゅ
vz	ゔぁん
wa	わ
wd	うぇん
we	うぇ
wha	うぁ
whe	うぇ
whi	うぃ
who	うぉ
whu	う
wi	うぃ
wk	うぃん
wl	うぉん
wn      わん
wo	を
wp	うぉー
wq	わい
wr	われ
wso	うぉ
wt	わた
wu	う
ww	うぇい
wye	ゑ
wyi	ゐ
wz	わん
xa	しゃ
xd	しぇん
xe	しぇ
xh	しゅう
xi	し
xj	しゅん
xk	しん
xka	ヵ
xke	ヶ
xl	しょん
xn	ん
xo	しょ
xp	しょう
xq	しゃい
xtsu	っ
xtu	っ
xu	しゅ
xw	しぇい
xx	っ	x
xya	ゃ
xye	ぇ
xyi	ぃ
xyo	ょ
xyu	ゅ
xz	しゃん
ya	や
yd	いぇん
ye	いぇ
yf	ゆ
yh	ゆう
yj	ゆん
yl	よん
yo	よ
yp	よう
yq	やい
yr	よる
yu	ゆ
yw	いぇい
yy	っ	y
yz	やん
z,	‥
z-	〜
z.	…
z/	・
z[	『
z]	』
za	ざ
zd	ぜん
ze	ぜ
zh	ずう
zi	じ
zj	ずん
zk	じん
zl	ぞん
zn	ざん
zo	ぞ
zp	ぞう
zq	ざい
zr	ざる
zu	ず
zw	ぜい
zya	じゃ
zye	じぇ
zyi	じぃ
zyo	じょ
zyu	じゅ
zz	ざん
~	〜
